mode,case,concurrency,begin,end,decode_log_samples,decode_running_req_min,decode_running_req_p50,decode_running_req_p95,decode_running_req_max,decode_full_token_max,decode_swa_token_max,decode_queue_req_max,bench_max_concurrency,bench_avg_concurrency,bench_peak_concurrent_requests,output_throughput
tp4_dp4_dpa_nvl_cg16,4k_500,1,2026-05-28 23:20:57,2026-05-28 23:25:16,400,1,1.0,1.0,1,4608,4608,0,1,1.0,3,90.26
tp4_dp4_dpa_nvl_cg16,4k_500,2,2026-05-28 23:25:16,2026-05-28 23:27:07,395,1,1.0,1.0,2,5632,4608,0,2,1.97,5,180.72
tp4_dp4_dpa_nvl_cg16,4k_500,4,2026-05-28 23:27:07,2026-05-28 23:28:15,340,1,1.0,2.0,3,8960,8960,0,4,3.87,7,333.41
tp4_dp4_dpa_nvl_cg16,4k_500,8,2026-05-28 23:28:15,2026-05-28 23:29:04,212,1,2.0,3.0,4,11264,11264,0,8,7.55,13,545.0
tp4_dp4_dpa_nvl_cg16,4k_500,16,2026-05-28 23:29:04,2026-05-28 23:29:44,115,1,4.0,6.0,6,18432,18432,0,16,14.47,20,813.48
tp4_dp4_dpa_nvl_cg16,4k_500,32,2026-05-28 23:29:44,2026-05-28 23:30:17,68,1,6.0,10.0,11,28416,27648,0,32,26.15,38,1212.62
tp4_dp4_dpa_nvl_cg16,4k_500,64,2026-05-28 23:30:17,2026-05-28 23:30:43,50,1,8.0,16.0,16,38656,38656,0,64,37.96,64,2403.6
tp4_dp4_dpa_nvl_cg16,32k_500,1,2026-05-28 23:30:43,2026-05-28 23:34:13,400,1,1.0,1.0,1,33024,4608,0,1,1.0,3,84.68
tp4_dp4_dpa_nvl_cg16,32k_500,2,2026-05-28 23:34:13,2026-05-28 23:36:28,398,1,1.0,1.0,2,53760,8960,0,2,1.98,4,142.32
tp4_dp4_dpa_nvl_cg16,32k_500,4,2026-05-28 23:36:28,2026-05-28 23:38:08,343,1,1.0,2.0,2,57088,8704,0,4,3.92,7,203.84
tp4_dp4_dpa_nvl_cg16,32k_500,8,2026-05-28 23:38:08,2026-05-28 23:39:25,217,1,2.0,3.0,3,94720,11776,0,8,7.75,11,289.34
tp4_dp4_dpa_nvl_cg16,32k_500,16,2026-05-28 23:39:25,2026-05-28 23:40:25,117,1,4.0,5.0,6,148224,14336,0,16,15.25,19,414.72
tp4_dp4_dpa_nvl_cg16,32k_500,32,2026-05-28 23:40:25,2026-05-28 23:41:11,69,1,6.0,9.6,10,206592,30976,0,32,28.85,35,645.64
tp4_dp4_dpa_nvl_cg16,32k_500,64,2026-05-28 23:41:11,2026-05-28 23:41:46,48,1,9.0,15.65,16,308480,39168,0,64,50.6,64,1205.63
tp4_dp4_dpa_nvl_cg16,128k_500,1,2026-05-28 23:41:46,2026-05-28 23:47:41,401,1,1.0,1.0,1,131072,4608,0,1,1.0,3,48.68
tp4_dp4_dpa_nvl_cg16,128k_500,2,2026-05-28 23:47:41,2026-05-28 23:52:14,400,1,1.0,1.0,2,208128,7424,0,2,1.99,4,64.94
tp4_dp4_dpa_nvl_cg16,128k_500,4,2026-05-28 23:52:14,2026-05-28 23:55:30,352,1,1.0,2.0,2,208128,7936,0,4,3.95,6,94.85
tp4_dp4_dpa_nvl_cg16,128k_500,8,2026-05-28 23:55:30,2026-05-28 23:58:03,216,1,2.0,3.0,4,329984,14592,0,8,7.86,11,127.1
tp4_dp4_dpa_nvl_cg16,128k_500,16,2026-05-28 23:58:03,2026-05-29 00:00:06,117,1,4.0,5.0,6,534272,17664,0,16,15.63,19,165.17
tp4_dp4_dpa_nvl_cg16,128k_500,32,2026-05-29 00:00:06,2026-05-29 00:01:54,70,1,7.0,9.0,10,834816,27392,0,32,31.01,35,194.06
tp4_dp4_dpa_nvl_cg16,128k_500,64,2026-05-29 00:01:54,2026-05-29 00:03:14,47,1,9.0,15.0,16,1226752,40448,0,64,59.93,64,307.7
tp8_dp8_dpa_nvl_cg16,4k_500,1,2026-05-29 00:12:12,2026-05-29 00:17:02,399,1,1.0,1.0,1,4608,2816,0,1,1.0,3,78.04
tp8_dp8_dpa_nvl_cg16,4k_500,2,2026-05-29 00:17:02,2026-05-29 00:18:57,401,1,1.0,1.0,1,4608,2816,0,2,1.97,4,170.34
tp8_dp8_dpa_nvl_cg16,4k_500,4,2026-05-29 00:18:57,2026-05-29 00:20:10,400,1,1.0,1.0,2,6400,3584,0,4,3.88,7,305.24
tp8_dp8_dpa_nvl_cg16,4k_500,8,2026-05-29 00:20:10,2026-05-29 00:21:07,325,1,1.0,2.0,3,9472,4864,0,8,7.61,11,474.82
tp8_dp8_dpa_nvl_cg16,4k_500,16,2026-05-29 00:21:07,2026-05-29 00:21:49,210,1,2.0,3.0,4,10496,6912,0,16,14.65,20,725.79
tp8_dp8_dpa_nvl_cg16,4k_500,32,2026-05-29 00:21:49,2026-05-29 00:22:26,127,1,3.0,5.0,6,17152,9728,0,32,26.98,37,1066.8
tp8_dp8_dpa_nvl_cg16,4k_500,64,2026-05-29 00:22:26,2026-05-29 00:22:53,87,1,4.0,8.0,8,21248,10496,0,64,42.04,64,2149.17
tp8_dp8_dpa_nvl_cg16,32k_500,1,2026-05-29 00:22:53,2026-05-29 00:27:15,400,1,1.0,1.0,1,33024,2560,0,1,1.0,3,66.94
tp8_dp8_dpa_nvl_cg16,32k_500,2,2026-05-29 00:27:15,2026-05-29 00:30:18,403,1,1.0,1.0,1,33024,2560,0,2,1.99,4,99.84
tp8_dp8_dpa_nvl_cg16,32k_500,4,2026-05-29 00:30:18,2026-05-29 00:32:32,399,1,1.0,1.0,2,49664,4608,0,4,3.94,6,142.92
tp8_dp8_dpa_nvl_cg16,32k_500,8,2026-05-29 00:32:32,2026-05-29 00:34:15,328,1,1.0,2.0,2,64512,4864,0,8,7.84,11,194.36
tp8_dp8_dpa_nvl_cg16,32k_500,16,2026-05-29 00:34:15,2026-05-29 00:35:27,215,1,2.0,3.0,3,93440,7424,0,16,15.38,19,309.76
tp8_dp8_dpa_nvl_cg16,32k_500,32,2026-05-29 00:35:27,2026-05-29 00:36:18,129,1,3.0,6.0,7,166144,13824,0,32,29.43,36,552.2
tp8_dp8_dpa_nvl_cg16,32k_500,64,2026-05-29 00:36:18,2026-05-29 00:36:51,87,1,5.0,8.0,8,156928,14848,0,64,51.08,64,1214.97
