mode,case,input_len,output_len,concurrency,status,completed,duration_s,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,max_output_tokens_per_s,max_concurrent_requests,notes
tp8_puretp_nvl_cg16,4k_500,4096,500,1,completed,64,239.46299845600151,0.2672646730921113,551.4254847362645,66.89551247285205,618.3209972091166,3740.9549891722236,7960.544686636712,722.3830414541226,2259.751168589719,12.095017932075816,12.120010026996574,12.257827646392636,12.108318302100358,12.114138997276314,12.298773340298792,84.0,3,
tp8_puretp_nvl_cg16,4k_500,4096,500,2,completed,64,110.91227567699389,0.5770326107669548,1190.544501895833,144.42945924806014,1334.9739611438931,3409.7724403600296,6812.550576781358,190.7221416408902,567.8795797607744,12.91853377758051,12.80214037959592,16.2596994647174,12.912498037605884,12.272058986127377,12.94001437461701,164.0,4,
tp8_puretp_nvl_cg16,4k_500,4096,500,4,completed,64,62.97375353699317,1.016296415655198,2096.8418203375977,254.3758169121971,2351.2176372497947,3797.1278682812226,7443.952092003454,204.22128459381383,618.9122323143238,14.37839913458359,14.25867957578117,18.336896848762905,14.412142551674886,12.561085997731425,170.20956636057232,320.0,7,
tp8_puretp_nvl_cg16,4k_500,4096,500,8,completed,64,37.737063273001695,1.6959454300140957,3499.106410181895,424.4898413030594,3923.5962514849543,4431.6677137503575,9054.540099763542,235.50534260925815,652.9868903246825,16.565358290156755,17.07869537810945,20.327744528722828,16.83196908762075,12.807357998099178,172.4654754778021,624.0,11,
tp8_puretp_nvl_cg16,4k_500,4096,500,16,completed,64,24.45966711700021,2.6165523714555405,5398.519913144036,654.914881849161,6053.434794993197,5478.280446687222,11762.004240795359,316.09469599902695,709.889342996612,21.15405510257072,21.85167295029627,30.35776613223007,20.706964650893507,13.441917006275617,174.3938096621423,1184.0,20,
tp8_puretp_nvl_cg16,4k_500,4096,500,32,completed,64,85.28956676399685,0.7503848645062672,1548.2081221655399,187.8189866332171,1736.027108798757,39182.58548839094,81988.05242089191,1702.7374321244224,2966.276550836774,156.44751193808614,168.94203272789593,177.2273796398201,150.3422114808485,156.32313799869735,317.6465049403487,736.0,34,
tp8_puretp_nvl_cg16,4k_500,4096,500,64,completed,64,58.067295285,1.1021694688185786,2274.0167137440317,275.8695737657001,2549.8862875097316,37261.81636571732,57939.44547994077,669.3550438735656,775.524078792223,153.39384310532037,155.96667183966312,200.79490800961483,146.78265124801135,155.18016200803686,159.87159971758956,732.0,64,
tp8_puretp_nvl_cg16,32k_500,32768,500,1,failed,,,,,,,,,,,,,,,,,,,client TransferEncodingError; bench_rc=1; health_after=000
tp8_puretp_nvl_cg16,32k_500,32768,500,2,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,32k_500,32768,500,4,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,32k_500,32768,500,8,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,32k_500,32768,500,16,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,32k_500,32768,500,32,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,32k_500,32768,500,64,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,128k_500,131072,500,1,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,128k_500,131072,500,2,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,128k_500,131072,500,4,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,128k_500,131072,500,8,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,128k_500,131072,500,16,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,128k_500,131072,500,32,not_run,,,,,,,,,,,,,,,,,,,
tp8_puretp_nvl_cg16,128k_500,131072,500,64,not_run,,,,,,,,,,,,,,,,,,,
