workload,concurrency,tp8_output_throughput_tok_s,tp4_output_throughput_tok_s,tp8_vs_tp4_output_ratio,tp8_total_throughput_tok_s,tp4_total_throughput_tok_s,tp8_vs_tp4_total_ratio,tp8_mean_ttft_ms,tp4_mean_ttft_ms,tp8_mean_tpot_ms,tp4_mean_tpot_ms
4k_500,1,85.79000383627331,109.76471757000657,0.7815808734856674,805.5133179090351,1030.6205605014804,0.7815808734856673,815.647172700119,176.90076800990937,8.417945998483408,8.427646154754274
4k_500,4,304.44935822817496,346.10195508252514,0.8796522347167369,2858.5849366515968,3249.6762059293924,0.8796522347167368,316.45007547034766,179.79521423974802,11.85439005719906,10.876048311371255
4k_500,8,485.7285909890354,565.1781591713848,0.8594256220041634,4560.681098436174,5306.661776967688,0.8594256220041633,285.29801480981405,192.6348900899393,14.907519609167451,12.98744508953557
4k_500,16,744.2934567977528,851.853357106085,0.8737342531891469,6988.4399705510805,7998.358705800008,0.8737342531891468,369.7350205198745,257.8701604800517,19.864778089655623,16.635487320633654
4k_500,32,1065.3741498624922,1288.807103442866,0.8266358456719363,10003.182514224403,12101.075179111367,0.8266358456719364,527.7068835999671,325.94974162984727,26.10139007273335,21.593120419315717
4k_500,64,1593.7730475131318,1905.0731544968828,0.8365941453487317,14964.510526732074,17887.419616705738,0.8365941453487317,1080.9798629098077,628.5606386899235,35.16923691853982,24.50533236554044
4k_500,128,2089.857992549271,3670.972103054819,0.5692928014381217,19622.4311721654,34468.08236920633,0.5692928014381217,2767.0429402699665,800.7278957399831,56.36543533116175,13.222697286695013
32k_500,1,70.36658398936899,89.04283812388391,0.7902554037133123,4612.102800091144,5836.217985248116,0.7902554037133123,1442.4387623502844,694.2398529597995,8.45454513086929,8.472955656895072
32k_500,4,147.19098356022278,217.27504794148243,0.6774408058115581,9647.476244247346,14241.061597536771,0.6774408058115582,1425.1977120998345,746.8507979301285,21.212680844269734,15.071997885346743
32k_500,8,182.83452288584056,313.6165041926245,0.5829875674321746,11983.694065389223,20555.659734173354,0.5829875674321745,1456.5513297301368,744.4682780500079,36.685564761690166,21.375619015870626
32k_500,16,271.16515983570144,427.06712807715087,0.6349473935318073,17773.231583251913,27991.6600403551,0.6349473935318073,1713.3630207999522,915.468017610292,52.48650276731116,33.35419630383861
32k_500,32,394.46606762462784,579.8765502551042,0.6802586989439234,25854.858256404088,38007.39085959915,0.6802586989439234,1995.2669519298797,1379.7788574401056,74.81480225430643,48.45500336735809
32k_500,64,625.7995576175435,876.4994251220086,0.7139760046396292,41017.36546454675,57449.221259543265,0.7139760046396292,4353.732956150561,2901.173605910044,111.31126118663292,76.72768579509098
32k_500,128,810.737560664133,1212.0822842819682,0.6688799689407308,53138.92989665424,79444.64233367237,0.6688799689407308,9152.747709239993,7030.887315490036,135.87652065444053,110.13851138077425
128k_500,1,32.18702019256302,49.26914131772653,0.6532896521373401,8789.824136970934,13454.712022781374,0.6532896521373402,5613.147515719684,2925.4888813700745,8.599645224744158,8.598144828887635
128k_500,4,52.85121914331707,98.23010775665905,0.5380348281225851,14432.927276741386,26825.265805010316,0.5380348281225852,5967.626273430069,2957.6446910998493,50.89641807916909,30.41935222754495
128k_500,8,72.09142328538157,125.5800402464084,0.5740675281193294,19687.157390507626,34294.14907859991,0.5740675281193293,6306.525336749764,3098.4944704997542,86.46420085243238,54.29553365849573
128k_500,16,97.48515230021194,167.67122926700844,0.5814065580981188,26621.828909862128,45788.6629228035,0.5814065580981187,12745.321421320405,3614.113048939871,107.55246910456623,80.41848160138017
128k_500,32,103.56986269460809,210.92007836633482,0.49103842316388496,28283.478045792363,57599.317510745386,0.49103842316388496,38029.03139221002,5322.927604439974,121.79562836149235,137.63616947961373
